0,1
Basic Machine Learning Concepts,What is Machine Learning?
ML is a branch of AI where models learn from data to make predictions or decisions without being explicitly programmed.,"What’s the difference between AI, ML, and Deep Learning?"
"Bias is error due to assumptions, while variance is error due to sensitivity to data fluctuations. Reducing one often increases the other, so a balance is sought.",What are the main types of ML algorithms?
"Supervised, unsupervised, and reinforcement learning.",How does cross-validation help in ML?
Data Preprocessing and Feature Engineering,Why is feature scaling important?
"One-hot encoding transforms categorical variables into binary columns for each category, making them numeric for ML models.",What is PCA?
Principal Component Analysis is a dimensionality reduction technique that projects data into components capturing the most variance.,How do you handle missing data?
Supervised Learning Algorithms,What are linear regression assumptions?
"Linearity, independence, homoscedasticity, normal distribution of residuals, and no multicollinearity.","What is logistic regression, and how does it work?"
"Pruning removes low-importance nodes to prevent overfitting, often based on thresholds.","What is an SVM, and what’s a support vector?"
Support Vector Machines classify by finding a hyperplane maximizing margin; support vectors are data points closest to the hyperplane.,What is k-nearest neighbors (KNN)?
"Partitions data into k clusters, where each cluster minimizes distance to its centroid.",What is hierarchical clustering?
"Builds a hierarchy of clusters, merging or splitting iteratively based on similarity.",What is DBSCAN?
"Density-Based Spatial Clustering detects clusters based on density of data points, handling noise well.",What is Latent Dirichlet Allocation (LDA)?
A generative model for topic modeling that identifies topics from a collection of documents.,How does Gaussian Mixture Model (GMM) work?
Neural Networks and Deep Learning,What is a neural network?
A method to adjust weights by calculating the error gradient and propagating it backward through the network.,What is the ReLU activation function?
"Rectified Linear Unit outputs zero for negative inputs and linear for positives, improving gradient flow.",What is dropout in neural networks?
A regularization method that randomly deactivates neurons during training to prevent overfitting.,What is a convolutional neural network (CNN)?
Advanced Deep Learning Concepts,What is transfer learning?
Recurrent Neural Networks process sequences by preserving temporal information; LSTMs add gating mechanisms to handle long dependencies.,What is a GAN?
"Generative Adversarial Network: a model generating new data by pitting two networks, generator and discriminator, against each other.",What is batch normalization?
Normalizes inputs of each layer to stabilize learning and improve convergence speed.,What is the vanishing gradient problem?
Model Evaluation and Metrics,What are precision and recall?
ROC-AUC measures classification performance; the area under the ROC curve (AUC) indicates discrimination power.,"What is an F1 score, and why use it?"
"Harmonic mean of precision and recall, useful in imbalanced datasets where both metrics matter.",What’s the difference between accuracy and error rate?
Accuracy is the proportion of correct predictions; error rate is the proportion of incorrect predictions.,How do you handle class imbalance?
Model Optimization and Hyperparameter Tuning,What is grid search?
A method to exhaustively test hyperparameter combinations and select the best one.,What’s the difference between grid search and random search?
"Grid search tests all combinations, while random search selects a random subset, often speeding up the process.",What is early stopping?
"Controls step size in gradient descent; too high may overshoot, too low may slow convergence.",What is Bayesian optimization?
Reinforcement Learning,What is reinforcement learning?
Balancing between exploring new actions and exploiting known profitable ones.,What is a Markov Decision Process?
"A mathematical framework for decision-making in reinforcement learning, defining states, actions, rewards, and transitions.",What is Q-learning?
Time Series Analysis,What is time series analysis?
"A forecasting model combining autoregression, differencing, and moving average for non-stationary time series.",What is seasonality in time series?
"Regular, repeating patterns within data over specific time intervals, e.g., daily, monthly.",What is exponential smoothing?
"A technique that applies decreasing weights to past observations, emphasizing more recent data.",How do you handle stationarity in time series?
Ensemble Methods,"What is ensemble learning, and why is it effective?"
"Bagging (Bootstrap Aggregating) creates multiple subsets of the data, trains individual models, and averages their predictions. Random Forest is a common example.","What is boosting, and how does it differ from bagging?"
"AdaBoost adjusts weights of training samples, increasing the weight of misclassified instances so that subsequent models focus on difficult cases.","What is XGBoost, and why is it popular?"
"XGBoost is an optimized gradient boosting library with speed, accuracy, and scalability advantages, making it popular in competitions and real-world applications.",What is stacking in ensemble learning?
"Stacking trains multiple models (level-0), then combines their predictions using a meta-model (level-1) to improve prediction accuracy.",What are the limitations of ensemble methods?
"CatBoost is a gradient boosting library that natively supports categorical features without one-hot encoding, improving both performance and speed.",What is the difference between soft and hard voting in ensemble methods?
Cloud Deployment Strategies,What are common platforms for deploying ML models?
"Serverless deployment allows model hosting without managing infrastructure, scaling automatically to handle requests (e.g., AWS Lambda with ML inference).",What is model versioning and why is it important?
"Docker packages ML models with their dependencies, ensuring consistency and portability across environments.","What is Kubernetes, and how is it used in ML?"
"Kubernetes manages containerized applications at scale, useful for deploying, scaling, and updating ML models in production.","What is a CI/CD pipeline in ML, and how does it work?"
"Edge AI involves deploying models on devices close to the data source (e.g., IoT), enabling real-time processing without relying on cloud infrastructure.",What is model monitoring and why is it necessary?
