0|1|2
Basic Machine Learning Concepts|What is Machine Learning?|ML is a branch of AI where models learn from data to make predictions or decisions without being explicitly programmed.
Basic Machine Learning Concepts|What’s the difference between AI, ML, and Deep Learning?|AI encompasses all intelligent systems; ML is a subset of AI focused on pattern learning, and Deep Learning is a subset of ML that uses neural networks.
Basic Machine Learning Concepts|Explain the bias-variance tradeoff.|Bias is error due to assumptions, while variance is error due to sensitivity to data fluctuations. Reducing one often increases the other, so a balance is sought.
Basic Machine Learning Concepts|What are the main types of ML algorithms?|Supervised, unsupervised, and reinforcement learning.
Basic Machine Learning Concepts|How does cross-validation help in ML?|Cross-validation helps assess a model’s performance on unseen data by creating multiple training and test splits, reducing overfitting.
Data Preprocessing and Feature Engineering|Why is feature scaling important?|It standardizes ranges, preventing features with larger scales from dominating the model, especially in distance-based algorithms.
Data Preprocessing and Feature Engineering|Explain one-hot encoding.|One-hot encoding transforms categorical variables into binary columns for each category, making them numeric for ML models.
Data Preprocessing and Feature Engineering|What is PCA?|Principal Component Analysis is a dimensionality reduction technique that projects data into components capturing the most variance.
Data Preprocessing and Feature Engineering|How do you handle missing data?|Common strategies include mean/mode imputation, deletion, or prediction using other features.
Data Preprocessing and Feature Engineering|Explain feature selection and feature extraction.|Feature selection picks important features, while feature extraction creates new features, often via transformation (e.g., PCA).
Supervised Learning Algorithms|What are linear regression assumptions?|Linearity, independence, homoscedasticity, normal distribution of residuals, and no multicollinearity.
Supervised Learning Algorithms|What is logistic regression, and how does it work?|A classification algorithm that models probability of outcomes using a sigmoid function.
Supervised Learning Algorithms|Explain decision tree pruning.|Pruning removes low-importance nodes to prevent overfitting, often based on thresholds.
Supervised Learning Algorithms|What is an SVM, and what’s a support vector?|Support Vector Machines classify by finding a hyperplane maximizing margin; support vectors are data points closest to the hyperplane.
Supervised Learning Algorithms|What is k-nearest neighbors (KNN)?|KNN classifies based on the majority label of its closest k neighbors.
Unsupervised Learning Algorithms|Explain K-means clustering.|Partitions data into k clusters, where each cluster minimizes distance to its centroid.
Unsupervised Learning Algorithms|What is hierarchical clustering?|Builds a hierarchy of clusters, merging or splitting iteratively based on similarity.
Unsupervised Learning Algorithms|What is DBSCAN?|Density-Based Spatial Clustering detects clusters based on density of data points, handling noise well.
Unsupervised Learning Algorithms|What is Latent Dirichlet Allocation (LDA)?|A generative model for topic modeling that identifies topics from a collection of documents.
Unsupervised Learning Algorithms|How does Gaussian Mixture Model (GMM) work?|Models data as a mixture of multiple Gaussian distributions, useful for soft clustering.
Neural Networks and Deep Learning|What is a neural network?|A network of connected nodes (neurons) that mimic human brain functioning to detect patterns and learn from data.
Neural Networks and Deep Learning|Explain backpropagation.|A method to adjust weights by calculating the error gradient and propagating it backward through the network.
Neural Networks and Deep Learning|What is the ReLU activation function?|Rectified Linear Unit outputs zero for negative inputs and linear for positives, improving gradient flow.
Neural Networks and Deep Learning|What is dropout in neural networks?|A regularization method that randomly deactivates neurons during training to prevent overfitting.
Neural Networks and Deep Learning|What is a convolutional neural network (CNN)?|A deep network mainly used in image processing, employing convolution layers to capture spatial hierarchies.
Advanced Deep Learning Concepts|What is transfer learning?|Leveraging a pre-trained model on a new task, often fine-tuning it on domain-specific data.
Advanced Deep Learning Concepts|Explain RNNs and LSTMs.|Recurrent Neural Networks process sequences by preserving temporal information; LSTMs add gating mechanisms to handle long dependencies.
Advanced Deep Learning Concepts|What is a GAN?|Generative Adversarial Network: a model generating new data by pitting two networks, generator and discriminator, against each other.
Advanced Deep Learning Concepts|What is batch normalization?|Normalizes inputs of each layer to stabilize learning and improve convergence speed.
Advanced Deep Learning Concepts|What is the vanishing gradient problem?|Occurs in deep networks where gradients shrink, making learning in early layers slow; often addressed by ReLU activation or residual connections.
Model Evaluation and Metrics|What are precision and recall?|Precision measures accuracy of positive predictions, while recall measures coverage of actual positives.
Model Evaluation and Metrics|Explain ROC-AUC score.|ROC-AUC measures classification performance; the area under the ROC curve (AUC) indicates discrimination power.
Model Evaluation and Metrics|What is an F1 score, and why use it?|Harmonic mean of precision and recall, useful in imbalanced datasets where both metrics matter.
Model Evaluation and Metrics|What’s the difference between accuracy and error rate?|Accuracy is the proportion of correct predictions; error rate is the proportion of incorrect predictions.
Model Evaluation and Metrics|How do you handle class imbalance?|Techniques include resampling, synthetic data generation (e.g., SMOTE), and adjusting evaluation metrics.
Model Optimization and Hyperparameter Tuning|What is grid search?|A method to exhaustively test hyperparameter combinations and select the best one.
Model Optimization and Hyperparameter Tuning|What’s the difference between grid search and random search?|Grid search tests all combinations, while random search selects a random subset, often speeding up the process.
Model Optimization and Hyperparameter Tuning|What is early stopping?|Stops training when validation error increases to prevent overfitting.
Model Optimization and Hyperparameter Tuning|Explain the role of learning rate in optimization.|Controls step size in gradient descent; too high may overshoot, too low may slow convergence.
Model Optimization and Hyperparameter Tuning|What is Bayesian optimization?|A method that models the objective function to identify the best parameters with fewer evaluations.
Reinforcement Learning|What is reinforcement learning?|A type of learning where agents learn by receiving rewards or penalties from interactions with an environment.
Reinforcement Learning|Explain the exploration-exploitation tradeoff.|Balancing between exploring new actions and exploiting known profitable ones.
Reinforcement Learning|What is a Markov Decision Process?|A mathematical framework for decision-making in reinforcement learning, defining states, actions, rewards, and transitions.
Reinforcement Learning|What is Q-learning?|An off-policy RL algorithm that learns an action-value function predicting the expected reward of actions.
Reinforcement Learning|Explain deep Q-networks (DQNs).|Combines Q-learning with deep neural networks to handle high-dimensional input spaces.
Time Series Analysis|What is time series analysis?|Analyzing data points ordered in time to detect patterns, trends, or seasonality.
Time Series Analysis|Explain ARIMA modeling.|A forecasting model combining autoregression, differencing, and moving average for non-stationary time series.
Time Series Analysis|What is seasonality in time series?|Regular, repeating patterns within data over specific time intervals, e.g., daily, monthly.
Time Series Analysis|What is exponential smoothing?|A technique that applies decreasing weights to past observations, emphasizing more recent data.
Time Series Analysis|How do you handle stationarity in time series?|Techniques include differencing, detrending, and transformation (e.g., log, Box-Cox) to stabilize mean and variance.
Ensemble Methods|What is ensemble learning, and why is it effective?|Ensemble learning combines multiple models to improve accuracy and robustness. It reduces variance, bias, or both by aggregating different predictions.
Ensemble Methods|Explain bagging and provide an example.|Bagging (Bootstrap Aggregating) creates multiple subsets of the data, trains individual models, and averages their predictions. Random Forest is a common example.
Ensemble Methods|What is boosting, and how does it differ from bagging?|Boosting sequentially builds models, where each new model corrects the errors of the previous one. Unlike bagging, it focuses on reducing bias and improves performance on complex data.
Ensemble Methods|Explain the AdaBoost algorithm.|AdaBoost adjusts weights of training samples, increasing the weight of misclassified instances so that subsequent models focus on difficult cases.
Ensemble Methods|What is XGBoost, and why is it popular?|XGBoost is an optimized gradient boosting library with speed, accuracy, and scalability advantages, making it popular in competitions and real-world applications.
Ensemble Methods|What is stacking in ensemble learning?|Stacking trains multiple models (level-0), then combines their predictions using a meta-model (level-1) to improve prediction accuracy.
Ensemble Methods|What are the limitations of ensemble methods?|Ensemble models can be computationally expensive, harder to interpret, and risk overfitting if not properly tuned.
Ensemble Methods|Explain LightGBM and its advantages.|LightGBM is a gradient boosting framework that uses histogram-based learning for faster training, making it ideal for large datasets.
Ensemble Methods|Describe CatBoost and how it handles categorical features.|CatBoost is a gradient boosting library that natively supports categorical features without one-hot encoding, improving both performance and speed.
Ensemble Methods|What is the difference between soft and hard voting in ensemble methods?|Hard voting takes the majority class label from multiple models, while soft voting averages probabilities and selects the highest probability.
Cloud Deployment Strategies|What are common platforms for deploying ML models?|AWS SageMaker, Google AI Platform, Azure ML, and container orchestration platforms like Kubernetes.
Cloud Deployment Strategies|Explain serverless deployment in ML.|Serverless deployment allows model hosting without managing infrastructure, scaling automatically to handle requests (e.g., AWS Lambda with ML inference).
Cloud Deployment Strategies|What is model versioning and why is it important?|Model versioning tracks different versions of models for reproducibility, rollback, and gradual updates, crucial in production environments.
Cloud Deployment Strategies|Explain the role of Docker in ML deployment.|Docker packages ML models with their dependencies, ensuring consistency and portability across environments.
Cloud Deployment Strategies|What is Kubernetes, and how is it used in ML?|Kubernetes manages containerized applications at scale, useful for deploying, scaling, and updating ML models in production.
Cloud Deployment Strategies|What is a CI/CD pipeline in ML, and how does it work?|A CI/CD pipeline automates model training, testing, and deployment steps, ensuring frequent, reliable updates to production models.
Cloud Deployment Strategies|Describe edge AI and its use cases.|Edge AI involves deploying models on devices close to the data source (e.g., IoT), enabling real-time processing without relying on cloud infrastructure.
Cloud Deployment Strategies|What is model monitoring and why is it necessary?|Model monitoring tracks performance and data drift in production, ensuring the model remains accurate over time.
Cloud Deployment Strategies|How would you handle model drift in a deployed model?|Detect drift using monitoring tools, and retrain the model periodically or based on performance thresholds.
Cloud Deployment Strategies|What are the advantages of using managed services like AWS SageMaker for deployment?|Managed services simplify model deployment, scaling, and monitoring, reducing infrastructure management effort.
Model Interpretability|Why is interpretability important in ML?|Interpretability helps build trust, especially in high-stakes applications (e.g., healthcare), and aids in debugging models and meeting regulatory requirements.
Model Interpretability|What is SHAP, and how does it work?|SHAP (SHapley Additive exPlanations) is an interpretability method that assigns each feature an importance value for a given prediction, based on cooperative game theory.
Model Interpretability|Explain LIME and its use cases.|LIME (Local Interpretable Model-agnostic Explanations) approximates complex models locally with simpler ones to interpret individual predictions.
